"filename", "language", "JavaScript", "JSON", "Markdown", "Properties", "Ignore", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\creatorstudio\sections\MainAnalytics\PastEvent\Full.js", "JavaScript", 186, 0, 0, 0, 0, 2, 16, 204
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\creatorstudio\sections\MainAnalytics\TimeTypeSelect.js", "JavaScript", 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\creatorstudio\sections\MainAnalytics\TimeTypeSelect\Base.js", "JavaScript", 93, 0, 0, 0, 0, 0, 10, 103
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\creatorstudio\sections\MainAnalytics\TimeTypeSelect\Full.js", "JavaScript", 93, 0, 0, 0, 0, 0, 10, 103
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\EventPage.js", "JavaScript", 843, 0, 0, 0, 0, 82, 129, 1054
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\Attendees.js", "JavaScript", 136, 0, 0, 0, 0, 0, 9, 145
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\Description.js", "JavaScript", 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\EndStream.js", "JavaScript", 58, 0, 0, 0, 0, 0, 6, 64
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\MediaSettings.js", "JavaScript", 78, 0, 0, 0, 0, 0, 9, 87
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\MediaSettings\Audio.js", "JavaScript", 57, 0, 0, 0, 0, 0, 5, 62
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\MediaSettings\Options.js", "JavaScript", 89, 0, 0, 0, 0, 0, 6, 95
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\MediaSettings\Video.js", "JavaScript", 57, 0, 0, 0, 0, 0, 5, 62
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\Resolution.js", "JavaScript", 46, 0, 0, 0, 0, 0, 4, 50
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\ScreenShare.js", "JavaScript", 81, 0, 0, 0, 0, 0, 6, 87
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\event\modal\StartStream.js", "JavaScript", 62, 0, 0, 0, 0, 0, 6, 68
